Wavelength,Absorption,
nm,,
e-pol,,
147.041520817733,3.68364977916845,
157.140656293329,0.868029576324802,
161.629160949149,1.85667130057483,
166.11766560497,0.400766264394933,
180.705305736386,0.171628970481588,
195.292945867803,0.0850726839776364,
209.880585999219,0.0486043880903781,
219.979721474815,0.0267443611920113,
234.567361606231,0.0176855133553739,
287.307291312121,0.0132565882175225,
345.657851837786,0.00858510805120132,
408.496917019272,0.00509283618471276,
471.335982200757,0.00361566389524704,
500.51126246359,0.00290967881614703,
515.098902595006,0.00235134491795122,
534.175047382243,0.00136602560342712,
563.350327645075,9.69811176946985E-4,
607.113248039325,5.24791485427756E-4,
617.21238351492,6.77108673084897E-4,
631.800023646337,4.01672702393893E-4,
689.028458008047,3.93369673957684E-4,
751.867523189533,3.47034156384767E-4,
805.729579059377,3.34228612117058E-4,
849.492499453626,3.66402114958987E-4,
916.820069290932,3.23243140690264E-4,
1048.10883047368,2.74645234347393E-4,
1149.10018522964,3.23243140690264E-4,
1280.38894641238,2.46377229533584E-4,
1328.64037146245,2.02455234201833E-4,
1357.81565172529,1.6566972938854E-4,
1459.9291326452,1.05511551274897E-4,
1522.76819782669,9.15406939374938E-5,
1604.68340779541,9.30832105513833E-5,
1658.54546366525,9.46517195125202E-5,
1774.12445855263,9.30832105513833E-5,
1920.00085986679,1.22123742446178E-4,
2016.50370996693,2.25683864322532E-4,
2104.02955075543,3.60330328797546E-4,
2127.59420019849,7.0012032296902E-4,
2132.08270485431,0.00158109853330824,
2132.08270485431,0.00243125576263468,
2175.84562524856,0.00361566389524704,
2224.09705029862,0.00214487503333135,
2248.78382590564,9.03325522705306E-4,
2330.69903587436,0.00226458039958464,
2330.69903587436,0.00492544415315051,
2369.97345161279,0.0139964377300523,
2380.07258708838,0.0370464612344461,
2403.63723653144,0.0193879556166631,
2437.30102145009,0.00757385718132715,
2442.91165226987,0.00271020503782486,
2510.23922210718,0.00567716095392111,
2573.07828728866,0.00844284102235079,
2626.94034315851,0.00577282458409991,
2650.50499260156,0.00858510805120132,
2679.6802728644,0.0053770671125222,
2733.54232873424,0.0027558736483419,
2748.12996886566,0.00891403554934808,
2771.69461830871,0.0384658492883137,
2786.28225844013,0.0116950777174121,
2800.86989857155,0.00622365562093394,
2830.04517883438,0.00349682376316339,
2869.31959457281,0.00528796172707264,
2936.64716441011,0.00858510805120132,
2961.33394001713,0.0103174995384951,
2999.4862295916,0.00977211812421622,
3047.73765464167,0.00770148130160528,
3101.59971051151,0.00643516758325425,
3154.3396402174,0.00528796172707264,
3212.69020074307,0.00528796172707264,
3256.45312113732,0.00500844089602212,
3294.60541071179,0.00679431395797722,
3333.87982645022,0.00844284102235079,
3382.13125150029,0.00609500562980978,
3455.06945215737,0.00813130058038613,
3517.90851733886,0.0112635298923081,
3576.25907786452,0.0145326934437901,
3653.68578317742,0.0167506598814276,
3687.34956809608,0.0216124258882839,
3740.08949780197,0.0320071225774501,
3832.10384324628,0.0521817192517158,
3919.62968403478,0.0819335058863576,
4007.15552482328,0.143408929261467,
4089.070734792,0.216865641684234,
4157.52043079326,0.269484475883005,
4185.57358489214,0.294193999068881,
4239.43564076199,0.294193999068881,
4273.09942568064,0.255239568574318,
4321.35085073071,0.232827167964082,
4394.28905138779,0.274025453926263,
4510.99017243912,0.454276018247273,
4645.64531211373,0.664385370879283,
4796.01021808371,0.713284793004789,
4985.64953979213,0.901287025754102,
5063.07624510503,1.09681827340895,
5178.6552399924,1.51931973081542,
5232.51729586225,2.06969582951231,
5285.25722556814,2.6152106657688,
5343.6077860938,4.10629204155223,
5367.17243553686,5.18859756622276,
5421.03449140671,4.4828054495185,
5464.79741180096,4.10629204155223,
5493.97269206379,4.55834345983157,
5537.73561245804,4.10629204155223,
5571.39939737669,3.88923408553215,
5594.96404681975,4.81274437591662,
5629.74995790236,5.08134339415769,
5667.90224747683,4.40851920775959,
5707.17666321526,4.24584505355495,
5730.74131265831,4.55834345983157,
5799.19100865958,4.10629204155223,
5871.0070831527,4.31739013643995,
5948.4337884656,4.65455843997532,
